1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,0,30,"[1, 3, 1, 6, 5, 2, 0, 2, 2, 2]",12,12,0.2746996684170286,1,0.005,-1
3,0,39,"[4, 8, 5, 2, 5, 10, 3, 8, 4, 5]",42,12,0.14451416875061576,1,0.005,-1
4,0,53,"[5, 3, 8, 6, 6, 3, 1, 7, 6, 2]",37,10,0.18352943614953973,1,0.005,-1
5,0,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]",14,17,0.2271284978584026,1,0.005,-1
6,0,63,"[5, 1, 1, 3, 0, 4, 5, 4, 2, 1]",13,13,0.2785325419436901,1,0.005,-1
7,0,27,"[8, 7, 8, 4, 3, 2, 4, 10, 7, 2]",38,17,0.16778647275030567,1,0.005,-1
8,0,31,"[5, 6, 3, 10, 3, 4, 1, 5, 5, 5]",33,14,0.16623834898918466,1,0.005,-1
9,0,43,"[5, 8, 9, 6, 3, 2, 8, 3, 6, 6]",44,12,0.15098668750164504,1,0.005,-1
10,0,88,"[4, 5, 6, 6, 13, 7, 5, 3, 5, 7]",49,12,0.15391920813209703,1,0.005,-1
11,0,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]",16,11,0.2983495833903269,1,0.005,-1
12,0,90,"[5, 2, 3, 8, 3, 1, 5, 4, 3, 3]",23,14,0.17801990353251318,1,0.005,-1
13,0,72,"[1, 5, 7, 1, 4, 2, 1, 7, 4, 1]",21,12,0.2438038965991368,1,0.005,-1
14,0,73,"[7, 6, 4, 4, 7, 5, 6, 9, 5, 2]",42,13,0.11880654458841064,1,0.005,-1
15,0,86,"[2, 5, 2, 2, 2, 3, 2, 2, 3, 3]",11,15,0.10402421724785764,1,0.005,-1
16,0,75,"[8, 9, 2, 4, 5, 7, 3, 9, 8, 6]",51,10,0.13826800837816872,1,0.005,-1
17,0,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]",15,13,0.1880845225879239,1,0.005,-1
18,0,56,"[7, 12, 4, 1, 6, 3, 7, 11, 8, 9]",52,16,0.1764399488207131,1,0.005,-1
19,0,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]",42,15,0.07498240823128642,1,0.005,-1
20,0,51,"[6, 6, 1, 7, 5, 4, 3, 8, 4, 4]",37,11,0.14756761127847454,1,0.005,-1
