1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,0,50,"[7, 5, 4, 5, 3, 2, 1, 1, 1, 3]",16,16,0.2183960442502337,1,0.005,-1
3,0,34,"[1, 2, 6, 6, 2, 6, 1, 3, 3, 1]",15,16,0.23296621001796072,1,0.005,-1
4,0,184,"[4, 5, 2, 7, 6, 2, 1, 4, 5, 4]",28,12,0.1694153968051406,1,0.005,-1
5,0,154,"[2, 4, 6, 3, 7, 2, 5, 0, 3, 3]",22,13,0.24434657482526895,1,0.005,-1
6,0,105,"[7, 5, 11, 8, 7, 5, 9, 6, 4, 8]",55,15,0.10539216618612228,1,0.005,-1
7,0,191,"[2, 3, 6, 1, 7, 5, 5, 7, 3, 6]",31,14,0.17829273595834305,1,0.005,-1
8,0,84,"[1, 3, 4, 3, 6, 0, 9, 5, 5, 4]",28,12,0.2554017614033648,1,0.005,-1
9,0,46,"[3, 4, 3, 6, 8, 5, 3, 4, 5, 3]",29,15,0.12525798636183494,1,0.005,-1
10,0,173,"[2, 3, 5, 3, 7, 5, 0, 6, 6, 2]",26,13,0.24097899146878618,1,0.005,-1
11,0,54,"[5, 6, 9, 3, 2, 14, 4, 6, 7, 3]",46,13,0.1902901683910935,1,0.005,-1
12,0,139,"[4, 7, 9, 5, 6, 6, 7, 4, 4, 2]",44,10,0.13051040668330927,1,0.005,-1
13,0,82,"[3, 1, 3, 3, 2, 4, 2, 3, 3, 4]",18,10,0.1295683396752886,1,0.005,-1
14,0,61,"[7, 3, 8, 6, 5, 5, 7, 6, 7, 6]",45,15,0.0968715725673892,1,0.005,-1
15,0,148,"[1, 1, 5, 4, 1, 3, 3, 3, 4, 4]",13,16,0.18884546447726372,1,0.005,-1
16,0,158,"[4, 2, 3, 4, 3, 2, 2, 1, 5, 3]",13,16,0.1541763388712679,1,0.005,-1
17,0,25,"[3, 7, 3, 5, 7, 3, 6, 6, 3, 5]",36,12,0.11259994312365697,1,0.005,-1
18,0,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]",15,13,0.18962342192026432,1,0.005,-1
19,0,95,"[5, 4, 6, 2, 6, 3, 4, 5, 3, 4]",26,16,0.11090538629824065,1,0.005,-1
20,0,146,"[4, 5, 3, 4, 3, 1, 4, 2, 6, 3]",24,11,0.1467264556812793,1,0.005,-1
21,0,36,"[2, 4, 8, 4, 3, 2, 0, 4, 6, 1]",17,17,0.26300737522024914,1,0.005,-1
22,0,108,"[5, 3, 7, 6, 1, 5, 4, 6, 2, 4]",32,11,0.16043609124523237,1,0.005,-1
23,0,197,"[5, 9, 8, 5, 7, 3, 6, 4, 1, 2]",36,14,0.1831918364517077,1,0.005,-1
24,0,171,"[6, 6, 6, 6, 7, 0, 7, 8, 2, 4]",42,10,0.21636738634289898,1,0.005,-1
25,0,15,"[1, 0, 1, 2, 3, 4, 4, 2, 2, 3]",11,11,0.2572261653538542,1,0.005,-1
26,0,47,"[5, 2, 4, 5, 6, 7, 8, 9, 2, 4]",38,14,0.16362264313525376,1,0.005,-1
27,0,113,"[5, 1, 7, 7, 3, 8, 4, 9, 2, 7]",38,15,0.19470423979881504,1,0.005,-1
28,0,32,"[6, 5, 7, 5, 2, 6, 5, 4, 3, 6]",32,17,0.11080237049941022,1,0.005,-1
29,0,85,"[4, 5, 2, 1, 1, 5, 7, 6, 4, 3]",24,14,0.1936771434762463,1,0.005,-1
30,0,155,"[7, 4, 5, 2, 7, 7, 10, 5, 6, 5]",47,11,0.1414499632009024,1,0.005,-1
31,0,142,"[2, 2, 2, 1, 4, 3, 1, 3, 3, 1]",12,10,0.16679145740623366,1,0.005,-1
32,0,8,"[2, 4, 2, 2, 1, 1, 5, 2, 3, 8]",20,10,0.2172391195668298,1,0.005,-1
33,0,115,"[2, 2, 2, 4, 2, 3, 2, 4, 5, 3]",15,14,0.12449946334361894,1,0.005,-1
34,0,157,"[6, 2, 4, 4, 2, 2, 4, 8, 2, 5]",21,18,0.16721511185059915,1,0.005,-1
35,0,112,"[3, 7, 6, 4, 7, 5, 3, 9, 5, 5]",39,15,0.1090525237030963,1,0.005,-1
36,0,39,"[4, 8, 5, 2, 5, 10, 3, 8, 4, 5]",42,12,0.1486001430549438,1,0.005,-1
37,0,31,"[5, 6, 3, 10, 3, 4, 1, 5, 5, 5]",33,14,0.16539509934796745,1,0.005,-1
38,0,38,"[10, 8, 4, 6, 3, 7, 7, 5, 6, 5]",51,10,0.11064732743267305,1,0.005,-1
39,0,73,"[7, 6, 4, 4, 7, 5, 6, 9, 5, 2]",42,13,0.1252347891793111,1,0.005,-1
