1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
54,0,253,"[8, 5, 2, 2, 2, 0, 4, 3, 3, 4]",15,18,0.24000302557574602,1,0.005,-1
55,0,149,"[5, 3, 3, 5, 8, 6, 2, 4, 6, 6]",31,17,0.14347576812714363,1,0.005,-1
56,0,55,"[8, 4, 4, 5, 3, 3, 6, 6, 7, 7]",41,12,0.11151836768852816,1,0.005,-1
57,0,203,"[1, 2, 0, 2, 2, 3, 9, 4, 2, 3]",16,12,0.2814879883050371,1,0.005,-1
58,0,123,"[6, 7, 6, 3, 2, 5, 5, 4, 5, 3]",36,10,0.1159838216284705,1,0.005,-1
59,0,234,"[3, 9, 4, 2, 2, 4, 3, 4, 3, 3]",25,12,0.1437102318915824,1,0.005,-1
60,0,225,"[7, 5, 6, 6, 5, 1, 9, 4, 7, 6]",39,17,0.14877259399881615,1,0.005,-1
61,0,113,"[5, 1, 7, 7, 3, 8, 4, 9, 2, 7]",38,15,0.1957209064317688,1,0.005,-1
62,0,264,"[6, 5, 3, 10, 6, 5, 10, 8, 11, 6]",53,17,0.12849653107604808,1,0.005,-1
63,0,162,"[4, 3, 8, 5, 2, 6, 5, 4, 2, 4]",27,16,0.14569350764110664,1,0.005,-1
64,0,44,"[3, 1, 10, 0, 2, 2, 2, 3, 1, 4]",12,16,0.31008723826500545,1,0.005,-1
65,0,277,"[4, 4, 5, 10, 10, 6, 5, 6, 9, 2]",43,18,0.16204997552188283,1,0.005,-1
66,0,270,"[2, 5, 0, 1, 1, 2, 4, 2, 4, 3]",11,13,0.25186669554465374,1,0.005,-1
67,0,220,"[5, 5, 5, 7, 5, 2, 9, 6, 2, 9]",43,12,0.1510597395710914,1,0.005,-1
68,0,169,"[5, 7, 7, 5, 3, 4, 9, 6, 6, 11]",48,15,0.11567336846103234,1,0.005,-1
69,0,108,"[5, 3, 7, 6, 1, 5, 4, 6, 2, 4]",32,11,0.16071338894462645,1,0.005,-1
70,0,199,"[6, 5, 4, 7, 11, 6, 6, 2, 3, 2]",42,10,0.18547318840834576,1,0.005,-1
71,0,176,"[8, 8, 4, 6, 4, 2, 5, 5, 4, 3]",39,10,0.12594497083846384,1,0.005,-1
72,0,14,"[3, 6, 5, 6, 3, 1, 0, 1, 1, 3]",15,14,0.2844984573250069,1,0.005,-1
73,0,114,"[4, 5, 7, 5, 5, 3, 4, 4, 4, 8]",32,17,0.0980791475884906,1,0.005,-1
74,0,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]",41,11,0.18786816380611168,1,0.005,-1
75,0,256,"[2, 5, 2, 6, 3, 6, 3, 7, 7, 9]",40,10,0.1624370991976394,1,0.005,-1
76,0,38,"[10, 8, 4, 6, 3, 7, 7, 5, 6, 5]",51,10,0.10969808259598954,1,0.005,-1
77,0,267,"[6, 6, 8, 4, 9, 5, 9, 7, 8, 4]",52,14,0.10549324736738043,1,0.005,-1
78,0,246,"[9, 1, 5, 7, 6, 4, 4, 7, 7, 9]",46,13,0.17042707706146892,1,0.005,-1
79,0,276,"[2, 3, 2, 2, 2, 4, 1, 1, 5, 3]",15,10,0.1741158189437626,1,0.005,-1
80,0,71,"[6, 10, 7, 2, 4, 1, 3, 3, 6, 6]",35,13,0.18959738743627133,1,0.005,-1
81,0,245,"[6, 4, 3, 6, 2, 2, 3, 0, 1, 4]",17,14,0.25601916925624546,1,0.005,-1
82,0,191,"[2, 3, 6, 1, 7, 5, 5, 7, 3, 6]",31,14,0.179490547192037,1,0.005,-1
83,0,28,"[3, 4, 5, 2, 3, 4, 1, 5, 4, 2]",20,13,0.14498104296229036,1,0.005,-1
84,0,262,"[4, 5, 2, 3, 1, 5, 3, 6, 2, 5]",23,13,0.15342413520425818,1,0.005,-1
85,0,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]",15,13,0.19188500722262258,1,0.005,-1
86,0,128,"[6, 5, 6, 6, 3, 7, 7, 6, 2, 5]",37,16,0.11475437283646855,1,0.005,-1
87,0,174,"[7, 4, 7, 9, 4, 7, 4, 5, 1, 5]",35,18,0.16325147738828208,1,0.005,-1
88,0,186,"[7, 1, 5, 5, 5, 5, 3, 5, 5, 8]",38,11,0.16066621682914625,1,0.005,-1
89,0,265,"[4, 4, 5, 5, 3, 2, 6, 3, 5, 4]",28,13,0.10082471629557577,1,0.005,-1
90,0,43,"[5, 8, 9, 6, 3, 2, 8, 3, 6, 6]",44,12,0.1446728123248092,1,0.005,-1
91,0,237,"[4, 1, 0, 1, 2, 4, 2, 4, 2, 2]",11,11,0.25610985308468814,1,0.005,-1
92,0,97,"[9, 7, 4, 7, 3, 3, 4, 5, 2, 3]",36,11,0.14957191887302237,1,0.005,-1
