1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,0,34,"[1, 2, 6, 6, 2, 6, 1, 3, 3, 1]",15,16,0.23708407235213744,1,0.005,-1
3,0,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]",36,12,0.15488607127507362,1,0.005,-1
4,0,5,"[5, 2, 3, 4, 3, 4, 6, 3, 4, 2]",25,11,0.14745565946055653,1,0.005,-1
5,0,15,"[1, 0, 1, 2, 3, 4, 4, 2, 2, 3]",11,11,0.2655882170515005,1,0.005,-1
6,0,21,"[8, 10, 5, 5, 8, 3, 8, 6, 8, 7]",52,16,0.1076669865896312,1,0.005,-1
7,0,22,"[2, 2, 2, 2, 7, 7, 8, 7, 7, 8]",35,17,0.20808676501269022,1,0.005,-1
8,0,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]",14,17,0.2314050745430718,1,0.005,-1
9,0,2,"[7, 5, 3, 7, 2, 4, 0, 14, 4, 3]",33,16,0.2504374764897345,1,0.005,-1
10,0,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]",42,15,0.06482063032871806,1,0.005,-1
11,0,37,"[3, 3, 3, 3, 6, 2, 2, 6, 2, 2]",19,13,0.1397386865460378,1,0.005,-1
12,0,27,"[8, 7, 8, 4, 3, 2, 4, 10, 7, 2]",38,17,0.17592720064176298,1,0.005,-1
13,0,12,"[6, 6, 3, 5, 3, 11, 5, 2, 4, 7]",36,16,0.16608157178862165,1,0.005,-1
14,0,26,"[2, 4, 4, 3, 3, 5, 3, 2, 4, 1]",21,10,0.14906830779037333,1,0.005,-1
15,0,38,"[10, 8, 4, 6, 3, 7, 7, 5, 6, 5]",51,10,0.11430300751877985,1,0.005,-1
16,0,30,"[1, 3, 1, 6, 5, 2, 0, 2, 2, 2]",12,12,0.26253334102761233,1,0.005,-1
17,0,29,"[10, 9, 5, 4, 2, 3, 6, 3, 2, 8]",41,11,0.18777188771991027,1,0.005,-1
18,0,19,"[2, 4, 6, 3, 6, 2, 5, 5, 3, 3]",29,10,0.139911723084575,1,0.005,-1
19,0,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]",41,11,0.16729737653018936,1,0.005,-1
20,0,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]",16,11,0.29663086157420093,1,0.005,-1
21,0,13,"[1, 3, 1, 1, 3, 4, 2, 3, 2, 3]",10,13,0.14805635918809765,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,1,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]",15,13,0.18420247427829808,1,0.005,-1
3,1,8,"[2, 4, 2, 2, 1, 1, 5, 2, 3, 8]",20,10,0.2225442717739004,1,0.005,-1
4,1,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]",14,17,0.2314050745430718,1,0.005,-1
5,1,28,"[3, 4, 5, 2, 3, 4, 1, 5, 4, 2]",20,13,0.1384445048684047,1,0.005,-1
6,1,34,"[1, 2, 6, 6, 2, 6, 1, 3, 3, 1]",15,16,0.23708407235213744,1,0.005,-1
7,1,39,"[4, 8, 5, 2, 5, 10, 3, 8, 4, 5]",42,12,0.13544677813170283,1,0.005,-1
8,1,33,"[5, 12, 5, 8, 2, 3, 5, 10, 9, 4]",48,15,0.1540902128844907,1,0.005,-1
9,1,7,"[3, 1, 6, 5, 5, 4, 5, 4, 3, 3]",22,17,0.16959807647480193,1,0.005,-1
10,1,25,"[3, 7, 3, 5, 7, 3, 6, 6, 3, 5]",36,12,0.10361563499791722,1,0.005,-1
11,1,2,"[7, 5, 3, 7, 2, 4, 0, 14, 4, 3]",33,16,0.2504374764897345,1,0.005,-1
12,1,13,"[1, 3, 1, 1, 3, 4, 2, 3, 2, 3]",10,13,0.14805635918809765,1,0.005,-1
13,1,22,"[2, 2, 2, 2, 7, 7, 8, 7, 7, 8]",35,17,0.20808676501269022,1,0.005,-1
14,1,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]",41,11,0.16729737653018936,1,0.005,-1
15,1,24,"[2, 5, 1, 2, 5, 0, 0, 3, 4, 3]",13,12,0.2976530440230237,1,0.005,-1
16,1,29,"[10, 9, 5, 4, 2, 3, 6, 3, 2, 8]",41,11,0.18777188771991027,1,0.005,-1
17,1,32,"[6, 5, 7, 5, 2, 6, 5, 4, 3, 6]",32,17,0.12390088769800146,1,0.005,-1
18,1,27,"[8, 7, 8, 4, 3, 2, 4, 10, 7, 2]",38,17,0.17592720064176298,1,0.005,-1
19,1,36,"[2, 4, 8, 4, 3, 2, 0, 4, 6, 1]",17,17,0.2644114869328013,1,0.005,-1
20,1,17,"[5, 5, 5, 3, 8, 6, 4, 6, 3, 6]",39,12,0.10141371231348559,1,0.005,-1
21,1,21,"[8, 10, 5, 5, 8, 3, 8, 6, 8, 7]",52,16,0.1076669865896312,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,2,14,"[3, 6, 5, 6, 3, 1, 0, 1, 1, 3]",15,14,0.2805358009701036,1,0.005,-1
3,2,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]",36,12,0.15488607127507362,1,0.005,-1
4,2,21,"[8, 10, 5, 5, 8, 3, 8, 6, 8, 7]",52,16,0.1076669865896312,1,0.005,-1
5,2,20,"[2, 3, 2, 3, 3, 1, 3, 4, 3, 3]",12,15,0.1046740212020171,1,0.005,-1
6,2,30,"[1, 3, 1, 6, 5, 2, 0, 2, 2, 2]",12,12,0.26253334102761233,1,0.005,-1
7,2,28,"[3, 4, 5, 2, 3, 4, 1, 5, 4, 2]",20,13,0.1384445048684047,1,0.005,-1
8,2,19,"[2, 4, 6, 3, 6, 2, 5, 5, 3, 3]",29,10,0.139911723084575,1,0.005,-1
9,2,29,"[10, 9, 5, 4, 2, 3, 6, 3, 2, 8]",41,11,0.18777188771991027,1,0.005,-1
10,2,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]",41,11,0.16729737653018936,1,0.005,-1
11,2,8,"[2, 4, 2, 2, 1, 1, 5, 2, 3, 8]",20,10,0.2225442717739004,1,0.005,-1
12,2,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]",16,11,0.29663086157420093,1,0.005,-1
13,2,2,"[7, 5, 3, 7, 2, 4, 0, 14, 4, 3]",33,16,0.2504374764897345,1,0.005,-1
14,2,39,"[4, 8, 5, 2, 5, 10, 3, 8, 4, 5]",42,12,0.13544677813170283,1,0.005,-1
15,2,3,"[6, 1, 3, 4, 7, 7, 4, 7, 1, 2]",28,14,0.2218136053986521,1,0.005,-1
16,2,34,"[1, 2, 6, 6, 2, 6, 1, 3, 3, 1]",15,16,0.23708407235213744,1,0.005,-1
17,2,31,"[5, 6, 3, 10, 3, 4, 1, 5, 5, 5]",33,14,0.15633192816316402,1,0.005,-1
18,2,12,"[6, 6, 3, 5, 3, 11, 5, 2, 4, 7]",36,16,0.16608157178862165,1,0.005,-1
19,2,32,"[6, 5, 7, 5, 2, 6, 5, 4, 3, 6]",32,17,0.12390088769800146,1,0.005,-1
20,2,23,"[2, 6, 1, 3, 2, 5, 1, 5, 6, 6]",24,13,0.18476274510875484,1,0.005,-1
21,2,5,"[5, 2, 3, 4, 3, 4, 6, 3, 4, 2]",25,11,0.14745565946055653,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,3,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]",14,17,0.2314050745430718,1,0.005,-1
3,3,34,"[1, 2, 6, 6, 2, 6, 1, 3, 3, 1]",15,16,0.23708407235213744,1,0.005,-1
4,3,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]",42,15,0.06482063032871806,1,0.005,-1
5,3,7,"[3, 1, 6, 5, 5, 4, 5, 4, 3, 3]",22,17,0.16959807647480193,1,0.005,-1
6,3,38,"[10, 8, 4, 6, 3, 7, 7, 5, 6, 5]",51,10,0.11430300751877985,1,0.005,-1
7,3,29,"[10, 9, 5, 4, 2, 3, 6, 3, 2, 8]",41,11,0.18777188771991027,1,0.005,-1
8,3,33,"[5, 12, 5, 8, 2, 3, 5, 10, 9, 4]",48,15,0.1540902128844907,1,0.005,-1
9,3,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]",31,16,0.26198197900683756,1,0.005,-1
10,3,12,"[6, 6, 3, 5, 3, 11, 5, 2, 4, 7]",36,16,0.16608157178862165,1,0.005,-1
11,3,17,"[5, 5, 5, 3, 8, 6, 4, 6, 3, 6]",39,12,0.10141371231348559,1,0.005,-1
12,3,2,"[7, 5, 3, 7, 2, 4, 0, 14, 4, 3]",33,16,0.2504374764897345,1,0.005,-1
13,3,36,"[2, 4, 8, 4, 3, 2, 0, 4, 6, 1]",17,17,0.2644114869328013,1,0.005,-1
14,3,20,"[2, 3, 2, 3, 3, 1, 3, 4, 3, 3]",12,15,0.1046740212020171,1,0.005,-1
15,3,35,"[5, 4, 5, 7, 6, 4, 4, 10, 6, 3]",38,16,0.11541761153011247,1,0.005,-1
16,3,19,"[2, 4, 6, 3, 6, 2, 5, 5, 3, 3]",29,10,0.139911723084575,1,0.005,-1
17,3,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]",15,13,0.18420247427829808,1,0.005,-1
18,3,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]",36,12,0.15488607127507362,1,0.005,-1
19,3,16,"[3, 7, 2, 3, 4, 2, 4, 7, 4, 2]",25,13,0.13244757913203148,1,0.005,-1
20,3,32,"[6, 5, 7, 5, 2, 6, 5, 4, 3, 6]",32,17,0.12390088769800146,1,0.005,-1
21,3,39,"[4, 8, 5, 2, 5, 10, 3, 8, 4, 5]",42,12,0.13544677813170283,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,4,3,"[6, 1, 3, 4, 7, 7, 4, 7, 1, 2]",28,14,0.2218136053986521,1,0.005,-1
3,4,37,"[3, 3, 3, 3, 6, 2, 2, 6, 2, 2]",19,13,0.1397386865460378,1,0.005,-1
4,4,15,"[1, 0, 1, 2, 3, 4, 4, 2, 2, 3]",11,11,0.2655882170515005,1,0.005,-1
5,4,16,"[3, 7, 2, 3, 4, 2, 4, 7, 4, 2]",25,13,0.13244757913203148,1,0.005,-1
6,4,22,"[2, 2, 2, 2, 7, 7, 8, 7, 7, 8]",35,17,0.20808676501269022,1,0.005,-1
7,4,27,"[8, 7, 8, 4, 3, 2, 4, 10, 7, 2]",38,17,0.17592720064176298,1,0.005,-1
8,4,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]",41,11,0.16729737653018936,1,0.005,-1
9,4,23,"[2, 6, 1, 3, 2, 5, 1, 5, 6, 6]",24,13,0.18476274510875484,1,0.005,-1
